chiropractor;;;;Diploma in Marketing;Licentiate degree in Law;Doktor Nauk in Philosophy;;;
international studies;;;;Diploma in pedagogy;Licentiate in Economics;Doktor Nauk in Political Science;;;
jurist;;;;Diploma of Business Administration;Licentiate of Medicine;Doktor Nauk in Psychology;;;
Language and Literature;;;;Diploma of Engineering;Licentiate of Philosophy;Doktor Nauk in Sociology;;;
political science;;;;Diploma of Fine Arts;Licentiate of Technology;Doktor Nauk in Veterinary;;;
Stanford University;;;;diplôme d'ingénieur;Licentiate of Theology;Doktor Nauk in Warfare;;;
;;;;Diplôme d’études supérieures spécialisées;graduate student;Doktoringenieur;;;
;;;;Diplomi-insinööri;French masters degree;Dr. phil.;;;
;;;;academic degree;Executive - Master of Business Administration;Ph.D. candidate;;;
;;;;academic painter;CAPES;PhD in economics;;;
;;;;academic title;Staatsexamen;PhD in genetics;;;
;;;;French Bachelor of History;specialist degree;PhD in Law;;;
;;;;artist diploma;jinshi;PhD in Philosophical Sciences;;;
;;;;associate degree;laurea magistrale;PhD in Political Philosophy;;;
;;;;siviløkonom;;PhD in Political Science;;;
;;;;civilekonom;;PhD in political science;;;
;;;;Capacité en Droit;;PhD in Psychology;;;
;;;;laurea;;PhD in sociology;;;
;;;;;;D.M.Sc.;;;
;;;;;;Danish PhD;;;
;;;;;;Honorary doctor of the University of Oxford;;;
;;;;;;honorary doctorate of the Masaryk University;;;
;;;;;;honorary professor;;;
;;;;;;habilitation;;;
;;;;;;Habilitation;;;
;;;;;;habilitation thesis;;;
;;;;;;honorary degree;;;
;;;;;;Legum Doctor;;;
;;;;;;Commercial pilot license;;;
;;;;;;Juris Doctor;;;
;;;;;;Chartered Chemist;;;
